category,color,currentTrial,currentBlock,subject,curID,colorname
Brown,98,2,0,13,23700,brown
Orange,77,3,0,13,23700,orange
Red,43,4,0,13,23700,red
Yellow,111,5,0,13,23700,yellow
Green,140,6,0,13,23700,green
Purple,280,7,0,13,23700,purple
Blue,231,0,1,13,23700,blue
Pink,360,1,1,13,23700,pink
Brown,87,2,1,13,23700,brown
Green,154,3,1,13,23700,green
Red,37,4,1,13,23700,red
Yellow,110,5,1,13,23700,yellow
Orange,71,6,1,13,23700,orange
Purple,279,7,1,13,23700,purple
Brown,100,0,0,14,23868,brown
Green,155,1,0,14,23868,green
Pink,352,2,0,14,23868,pink
Purple,278,3,0,14,23868,purple
Blue,244,4,0,14,23868,blue
Yellow,96,5,0,14,23868,yellow
Red,35,6,0,14,23868,red
Orange,77,7,0,14,23868,orange
Red,30,0,1,14,23868,red
Yellow,90,1,1,14,23868,yellow
Pink,352,2,1,14,23868,pink
Brown,100,3,1,14,23868,brown
Green,166,4,1,14,23868,green
Blue,222,5,1,14,23868,blue
Purple,284,6,1,14,23868,purple
Orange,70,7,1,14,23868,orange
Purple,290,0,0,15,24410,purple
Orange,67,1,0,15,24410,orange
Red,48,2,0,15,24410,red
Yellow,92,3,0,15,24410,yellow
Pink,26,4,0,15,24410,pink
Green,145,5,0,15,24410,green
Blue,247,6,0,15,24410,blue
Brown,92,7,0,15,24410,brown
Green,147,0,1,15,24410,green
Pink,26,1,1,15,24410,pink
Yellow,88,2,1,15,24410,yellow
Red,38,3,1,15,24410,red
Blue,251,4,1,15,24410,blue
Orange,68,5,1,15,24410,orange
Brown,108,6,1,15,24410,brown
Purple,296,7,1,15,24410,purple
Pink,7,0,0,16,24664,pink
Yellow,104,1,0,16,24664,yellow
Purple,276,2,0,16,24664,purple
Blue,238,3,0,16,24664,blue
Red,32,4,0,16,24664,red
Orange,61,5,0,16,24664,orange
Green,135,6,0,16,24664,green
Brown,95,7,0,16,24664,brown
Red,33,0,1,16,24664,red
Purple,280,1,1,16,24664,purple
Blue,233,2,1,16,24664,blue
Green,156,3,1,16,24664,green
Pink,353,4,1,16,24664,pink
Brown,97,5,1,16,24664,brown
Yellow,93,6,1,16,24664,yellow
Orange,78,7,1,16,24664,orange
Purple,267,0,0,17,24907,purple
Brown,104,1,0,17,24907,brown
Orange,60,2,0,17,24907,orange
Blue,228,3,0,17,24907,blue
Pink,336,4,0,17,24907,pink
Red,31,5,0,17,24907,red
Green,158,6,0,17,24907,green
Yellow,108,7,0,17,24907,yellow
Pink,13,0,1,17,24907,pink
Purple,271,1,1,17,24907,purple
Orange,71,2,1,17,24907,orange
Red,39,3,1,17,24907,red
Brown,110,4,1,17,24907,brown
Yellow,97,5,1,17,24907,yellow
Blue,239,6,1,17,24907,blue
Green,160,7,1,17,24907,green
Pink,348,0,0,18,24933,pink
Orange,68,1,0,18,24933,orange
Blue,239,2,0,18,24933,blue
Yellow,103,3,0,18,24933,yellow
Purple,292,4,0,18,24933,purple
Brown,98,5,0,18,24933,brown
Green,155,6,0,18,24933,green
Red,34,7,0,18,24933,red
Green,158,0,1,18,24933,green
Pink,335,1,1,18,24933,pink
Purple,296,2,1,18,24933,purple
Yellow,98,3,1,18,24933,yellow
Blue,230,4,1,18,24933,blue
Red,48,5,1,18,24933,red
Brown,93,6,1,18,24933,brown
Orange,60,7,1,18,24933,orange
